sample_name	unit_name	fq1	fq2	sra	adapters
SRR3725394	NA	NA	NA	SRR3725394	NA
SRR3725453	NA	NA	NA	SRR3725453	NA
SRR3725460	NA	NA	NA	SRR3725460	NA
SRR3725473	NA	NA	NA	SRR3725473	NA
SRR3725500	NA	NA	NA	SRR3725500	NA
SRR3725519	NA	NA	NA	SRR3725519	NA
SRR3725543	NA	NA	NA	SRR3725543	NA
SRR3725649	NA	NA	NA	SRR3725649	NA
SRR900226	NA	NA	NA	SRR900226	NA
SRR901032	NA	NA	NA	SRR901032	NA
SRR901079	NA	NA	NA	SRR901079	NA
SRR901081	NA	NA	NA	SRR901081	NA
SRR901082	NA	NA	NA	SRR901082	NA
SRR901083	NA	NA	NA	SRR901083	NA
SRR901084	NA	NA	NA	SRR901084	NA
SRR901085	NA	NA	NA	SRR901085	NA
SRR901086	NA	NA	NA	SRR901086	NA
SRR901087	NA	NA	NA	SRR901087	NA
SRR901088	NA	NA	NA	SRR901088	NA
SRR901089	NA	NA	NA	SRR901089	NA
SRR901090	NA	NA	NA	SRR901090	NA
SRR901091	NA	NA	NA	SRR901091	NA
SRR901092	NA	NA	NA	SRR901092	NA
SRR901093	NA	NA	NA	SRR901093	NA
SRR901094	NA	NA	NA	SRR901094	NA
SRR901095	NA	NA	NA	SRR901095	NA
SRR901096	NA	NA	NA	SRR901096	NA
SRR901097	NA	NA	NA	SRR901097	NA
SRR901098	NA	NA	NA	SRR901098	NA
SRR901099	NA	NA	NA	SRR901099	NA
SRR901100	NA	NA	NA	SRR901100	NA
SRR901101	NA	NA	NA	SRR901101	NA
SRR901102	NA	NA	NA	SRR901102	NA
SRR901103	NA	NA	NA	SRR901103	NA
SRR901104	NA	NA	NA	SRR901104	NA
SRR901105	NA	NA	NA	SRR901105	NA
SRR901106	NA	NA	NA	SRR901106	NA
SRR901107	NA	NA	NA	SRR901107	NA
SRR901108	NA	NA	NA	SRR901108	NA
SRR901109	NA	NA	NA	SRR901109	NA
SRR901110	NA	NA	NA	SRR901110	NA
SRR901111	NA	NA	NA	SRR901111	NA
SRR901112	NA	NA	NA	SRR901112	NA
SRR901113	NA	NA	NA	SRR901113	NA
SRR901114	NA	NA	NA	SRR901114	NA
SRR901115	NA	NA	NA	SRR901115	NA
SRR901116	NA	NA	NA	SRR901116	NA
SRR901117	NA	NA	NA	SRR901117	NA
SRR901118	NA	NA	NA	SRR901118	NA
SRR901119	NA	NA	NA	SRR901119	NA
SRR901120	NA	NA	NA	SRR901120	NA
SRR901121	NA	NA	NA	SRR901121	NA
SRR901122	NA	NA	NA	SRR901122	NA
SRR901123	NA	NA	NA	SRR901123	NA
SRR901124	NA	NA	NA	SRR901124	NA
SRR901125	NA	NA	NA	SRR901125	NA
SRR901126	NA	NA	NA	SRR901126	NA
SRR901127	NA	NA	NA	SRR901127	NA
SRR901128	NA	NA	NA	SRR901128	NA
SRR901129	NA	NA	NA	SRR901129	NA
SRR901130	NA	NA	NA	SRR901130	NA
SRR901131	NA	NA	NA	SRR901131	NA
SRR901132	NA	NA	NA	SRR901132	NA
SRR901133	NA	NA	NA	SRR901133	NA
SRR901134	NA	NA	NA	SRR901134	NA
SRR901135	NA	NA	NA	SRR901135	NA
SRR901136	NA	NA	NA	SRR901136	NA
SRR901137	NA	NA	NA	SRR901137	NA
SRR901138	NA	NA	NA	SRR901138	NA
SRR901139	NA	NA	NA	SRR901139	NA
SRR901140	NA	NA	NA	SRR901140	NA
SRR901141	NA	NA	NA	SRR901141	NA
SRR901142	NA	NA	NA	SRR901142	NA
SRR901143	NA	NA	NA	SRR901143	NA
SRR901144	NA	NA	NA	SRR901144	NA
